======================================================================
OPTION STRATEGY BACKTEST ANALYSIS
======================================================================

Total Backtests: 135
[PROFITABLE] 60 (44.4%)
[LOSING] 75 (55.6%)

[PROFITABLE] STRATEGIES:
----------------------------------------------------------------------
46. Straddle             | yesterday  | PnL: Rs  -6802.83 | Win Rate:   0.0%
47. Straddle             | yesterday  | PnL: Rs  -6802.83 | Win Rate:   0.0%
48. Straddle             | yesterday  | PnL: Rs  -6802.83 | Win Rate:   0.0%
49. Straddle             | yesterday  | PnL: Rs  -6802.83 | Win Rate:   0.0%
50. Straddle             | yesterday  | PnL: Rs  -6802.83 | Win Rate:   0.0%
51. Protective Put       | yesterday  | PnL: Rs  -4538.04 | Win Rate:   0.0%
52. Protective Put       | yesterday  | PnL: Rs  -4538.04 | Win Rate:   0.0%
53. Protective Put       | yesterday  | PnL: Rs  -4538.04 | Win Rate:   0.0%
54. Protective Put       | yesterday  | PnL: Rs  -4538.04 | Win Rate:   0.0%
55. Protective Put       | yesterday  | PnL: Rs  -4538.04 | Win Rate:   0.0%
56. Bull Call Spread     | yesterday  | PnL: Rs  -2575.30 | Win Rate:  50.0%
57. Bull Call Spread     | yesterday  | PnL: Rs  -2575.30 | Win Rate:  50.0%
58. Bull Call Spread     | yesterday  | PnL: Rs  -2575.30 | Win Rate:  50.0%
59. Bull Call Spread     | yesterday  | PnL: Rs  -2575.30 | Win Rate:  50.0%
60. Bull Call Spread     | yesterday  | PnL: Rs  -2575.30 | Win Rate:  50.0%
61. Iron Butterfly       | 1week      | PnL: Rs  -2271.02 | Win Rate:  50.0%
62. Iron Butterfly       | 1month     | PnL: Rs  -2271.02 | Win Rate:  50.0%
63. Iron Butterfly       | 1week      | PnL: Rs  -2271.02 | Win Rate:  50.0%
64. Iron Butterfly       | 1month     | PnL: Rs  -2271.02 | Win Rate:  50.0%
65. Iron Butterfly       | 1week      | PnL: Rs  -2271.02 | Win Rate:  50.0%
66. Iron Butterfly       | 1month     | PnL: Rs  -2271.02 | Win Rate:  50.0%
67. Iron Butterfly       | 1week      | PnL: Rs  -2271.02 | Win Rate:  50.0%
68. Iron Butterfly       | 1month     | PnL: Rs  -2271.02 | Win Rate:  50.0%
69. Iron Butterfly       | 1week      | PnL: Rs  -2271.02 | Win Rate:  50.0%
70. Iron Butterfly       | 1month     | PnL: Rs  -2271.02 | Win Rate:  50.0%
71. Iron Butterfly       | yesterday  | PnL: Rs  -2184.94 | Win Rate:  50.0%
72. Iron Butterfly       | yesterday  | PnL: Rs  -2184.94 | Win Rate:  50.0%
73. Iron Butterfly       | yesterday  | PnL: Rs  -2184.94 | Win Rate:  50.0%
74. Iron Butterfly       | yesterday  | PnL: Rs  -2184.94 | Win Rate:  50.0%
75. Iron Butterfly       | yesterday  | PnL: Rs  -2184.94 | Win Rate:  50.0%

STRATEGY RANKINGS BY PERIOD:
----------------------------------------------------------------------

YESTERDAY:
1. [PROFIT] Covered Call         | PnL: Rs   4529.51
2. [PROFIT] Covered Call         | PnL: Rs   4529.51
3. [PROFIT] Covered Call         | PnL: Rs   4529.51
4. [PROFIT] Covered Call         | PnL: Rs   4529.51
5. [PROFIT] Covered Call         | PnL: Rs   4529.51
6. [PROFIT] Calendar Spread      | PnL: Rs   3412.99
7. [PROFIT] Calendar Spread      | PnL: Rs   3412.99
8. [PROFIT] Calendar Spread      | PnL: Rs   3412.99
9. [PROFIT] Calendar Spread      | PnL: Rs   3412.99
10. [PROFIT] Calendar Spread      | PnL: Rs   3412.99
11. [PROFIT] Bear Put Spread      | PnL: Rs   2339.86
12. [PROFIT] Bear Put Spread      | PnL: Rs   2339.86
13. [PROFIT] Bear Put Spread      | PnL: Rs   2339.86
14. [PROFIT] Bear Put Spread      | PnL: Rs   2339.86
15. [PROFIT] Bear Put Spread      | PnL: Rs   2339.86
16. [PROFIT] Iron Condor          | PnL: Rs    165.78
17. [PROFIT] Iron Condor          | PnL: Rs    165.78
18. [PROFIT] Iron Condor          | PnL: Rs    165.78
19. [PROFIT] Iron Condor          | PnL: Rs    165.78
20. [PROFIT] Iron Condor          | PnL: Rs    165.78
21. [LOSS] Iron Butterfly       | PnL: Rs  -2184.94
22. [LOSS] Iron Butterfly       | PnL: Rs  -2184.94
23. [LOSS] Iron Butterfly       | PnL: Rs  -2184.94
24. [LOSS] Iron Butterfly       | PnL: Rs  -2184.94
25. [LOSS] Iron Butterfly       | PnL: Rs  -2184.94
26. [LOSS] Bull Call Spread     | PnL: Rs  -2575.30
27. [LOSS] Bull Call Spread     | PnL: Rs  -2575.30
28. [LOSS] Bull Call Spread     | PnL: Rs  -2575.30
29. [LOSS] Bull Call Spread     | PnL: Rs  -2575.30
30. [LOSS] Bull Call Spread     | PnL: Rs  -2575.30
31. [LOSS] Protective Put       | PnL: Rs  -4538.04
32. [LOSS] Protective Put       | PnL: Rs  -4538.04
33. [LOSS] Protective Put       | PnL: Rs  -4538.04
34. [LOSS] Protective Put       | PnL: Rs  -4538.04
35. [LOSS] Protective Put       | PnL: Rs  -4538.04
36. [LOSS] Straddle             | PnL: Rs  -6802.83
37. [LOSS] Straddle             | PnL: Rs  -6802.83
